Symbols
TSLA
AAPL
TWTR
NOK
AMD
AAL
GE
F
PFE
BAC
MARA
AMC
ITUB
XOM
FB
SNAP
C
T
MSFT
AMZN
GOOG
TSM
BABA
V
JPM
WMT
NVDA
HD
KO
VZ
TM
INTC
ORCL
NFLX
NKE
ABBV
PEP
